序号,变量名,地址,数据类型,IO类型,描述,槽位,端子,电缆
1,急停按钮,%I0.0,BOOL,数字量输入,急停 E-Stop,0,1,DI_8W_01
2,启动按钮,%I0.1,BOOL,数字量输入,启动 Start,0,2,DI_8W_01
3,停止按钮,%I0.2,BOOL,数字量输入,停止 Stop,0,3,DI_8W_01
4,复位按钮,%I0.3,BOOL,数字量输入,故障复位 Reset,0,4,DI_8W_01
5,光电传感器1,%I1.0,BOOL,数字量输入,工件检测,1,1,DI_8W_02
6,光电传感器2,%I1.1,BOOL,数字量输入,到位检测,1,2,DI_8W_02
7,限位开关_左,%I2.0,BOOL,数字量输入,左限位,2,1,DI_8W_03
8,限位开关_右,%I2.1,BOOL,数字量输入,右限位,2,2,DI_8W_03
9,温度开关,%I3.0,BOOL,数字量输入,超温报警,3,1,DI_8W_04
10,压力开关,%I3.1,BOOL,数字量输入,欠压报警,3,2,DI_8W_04
11,安全光幕,%I4.0,BOOL,数字量输入,安全光幕,3,3,DI_8W_04
12,编码器Z脉冲,%I5.0,BOOL,数字量输入,编码器零点,4,1,DI_8W_05
13,电机运行,%Q0.0,BOOL,数字量输出,主电机,5,1,DO_8W_01
14,电机正转,%Q0.1,BOOL,数字量输出,正转接触器,5,2,DO_8W_01
15,电机反转,%Q0.2,BOOL,数字量输出,反转接触器,5,3,DO_8W_01
16,报警指示灯,%Q1.0,BOOL,数字量输出,红色指示灯,6,1,DO_8W_02
17,运行指示灯,%Q1.1,BOOL,数字量输出,绿色指示灯,6,2,DO_8W_02
18,蜂鸣器,%Q1.2,BOOL,数字量输出,报警蜂鸣,6,3,DO_8W_02
19,电磁阀1,%Q2.0,BOOL,数字量输出,进料阀,7,1,DO_8W_03
20,电磁阀2,%Q2.1,BOOL,数字量输出,排料阀,7,2,DO_8W_03
21,冷却风扇,%Q3.0,BOOL,数字量输出,散热风扇,7,3,DO_8W_03
22,加热器,%Q3.1,BOOL,数字量输出,加热器通断,7,4,DO_8W_03
23,温度传感器1,%AIW0,INT,模拟量输入,炉温1 0-200°C,8,1,AI_4W_01
24,温度传感器2,%AIW2,INT,模拟量输入,炉温2 0-200°C,8,2,AI_4W_01
25,压力变送器,%AIW4,INT,模拟量输入,系统压力 0-16bar,8,3,AI_4W_02
26,流量计,%AIW6,INT,模拟量输入,瞬时流量,9,1,AI_2W_01
27,液位计,%AIW8,INT,模拟量输入,液位 0-500mm,9,2,AI_2W_01
28,变频器频率,%AQW0,INT,模拟量输出,变频器给定 0-50Hz,10,1,AO_01
29,调节阀开度,%AQW2,INT,模拟量输出,阀门控制 0-100%,10,2,AO_01
