变量名,地址,数据类型,备注,槽位,端子,电缆
急停按钮,%I0.0,BOOL,急停 E-Stop,0,1,DI_8W_01
启动按钮,%I0.1,BOOL,启动 Start,0,2,DI_8W_01
停止按钮,%I0.2,BOOL,停止 Stop,0,3,DI_8W_01
复位按钮,%I0.3,BOOL,故障复位 Reset,0,4,DI_8W_01
光电传感器1,%I1.0,BOOL,工件检测,1,1,DI_8W_02
光电传感器2,%I1.1,BOOL,到位检测,1,2,DI_8W_02
限位开关_左,%I2.0,BOOL,左限位,2,1,DI_8W_03
限位开关_右,%I2.1,BOOL,右限位,2,2,DI_8W_03
温度开关,%I3.0,BOOL,超温报警,3,1,DI_8W_04
压力开关,%I3.1,BOOL,欠压报警,3,2,DI_8W_04
安全光幕,%I4.0,BOOL,安全光幕,3,3,DI_8W_04
编码器Z脉冲,%I5.0,BOOL,编码器零点,4,1,DI_8W_05
电机运行,%Q0.0,BOOL,主电机,5,1,DO_8W_01
电机正转,%Q0.1,BOOL,正转接触器,5,2,DO_8W_01
电机反转,%Q0.2,BOOL,反转接触器,5,3,DO_8W_01
报警指示灯,%Q1.0,BOOL,红色指示灯,6,1,DO_8W_02
运行指示灯,%Q1.1,BOOL,绿色指示灯,6,2,DO_8W_02
蜂鸣器,%Q1.2,BOOL,报警蜂鸣,6,3,DO_8W_02
电磁阀1,%Q2.0,BOOL,进料阀,7,1,DO_8W_03
电磁阀2,%Q2.1,BOOL,排料阀,7,2,DO_8W_03
冷却风扇,%Q3.0,BOOL,散热风扇,7,3,DO_8W_03
加热器,%Q3.1,BOOL,加热器通断,7,4,DO_8W_03
温度传感器1,%AIW0,INT,炉温1 0-200°C,8,1,AI_4W_01
温度传感器2,%AIW2,INT,炉温2 0-200°C,8,2,AI_4W_01
压力变送器,%AIW4,INT,系统压力 0-16bar,8,3,AI_4W_02
流量计,%AIW6,INT,瞬时流量,9,1,AI_2W_01
液位计,%AIW8,INT,液位 0-500mm,9,2,AI_2W_01
变频器频率,%AQW0,INT,变频器给定 0-50Hz,10,1,AO_01
调节阀开度,%AQW2,INT,阀门控制 0-100%,10,2,AO_01
